municipio,potencial_destinacao_valor,potencial_destinacao_contribuintes,destinacoes_por_localidade_valor,destinacoes_por_localidade_contribuintes,valor_destinado_fundo,quantidade_doacoes_declaradas,percentual_crianca_adolescente,percentual_pessoa_idosa,darfs_pagos_valor,quantidade_doacoes_pagas,data_referencia_declaracoes,data_referencia_darfs,fonte,data_processamento
CAPOEIRAS,48358.76,185.0,2229.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723575
CARNAIBA,172446.5,371.0,551.84,2.0,4538.14,4.0,0.0,100.0,4525.59,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723576
CARNAUBEIRA DA PENHA,72969.36,220.0,0.0,0.0,5199.95,7.0,16.5,83.5,3570.44,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723577
CARPINA,1772797.09,3300.0,11172.43,17.0,32196.02,17.0,81.3,18.7,9432.32,7.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723578
CARUARU,10828699.97,15402.0,547431.88,475.0,817767.93,957.0,84.5,15.5,345400.59,463.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723579
CASINHAS,22093.18,134.0,968.08,2.0,1121.98,2.0,50.0,50.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723580
CATENDE,351905.76,629.0,3921.6,2.0,1163.42,2.0,68.9,31.1,1163.42,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723581
CEDRO,69124.75,384.0,448.22,1.0,1616.06,1.0,100.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723583
CHA DE ALEGRIA,77896.85,256.0,866.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723584
CHA GRANDE,192977.14,337.0,2084.45,4.0,11004.2,9.0,29.7,70.3,754.81,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723587
CONDADO,300218.82,752.0,12346.54,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723588
CORRENTES,55110.79,153.0,0.0,0.0,2850.0,4.0,5.3,94.7,2850.0,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723589
CORTES,49264.8,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723590
CUMARU,105701.94,206.0,2043.05,3.0,8225.59,4.0,0.0,100.0,631.59,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723591
CUPIRA,207172.0,406.0,3902.39,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723593
CUSTODIA,369304.17,793.0,0.0,0.0,4197.77,4.0,55.1,44.9,1886.44,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723594
DORMENTES,93667.05,305.0,4571.15,8.0,5673.3,13.0,60.3,39.7,1288.0,5.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723595
ESCADA,673096.41,1904.0,135.24,1.0,2248.2,5.0,100.0,0.0,2726.99,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723598
ESTADUAL,0.0,0.0,0.0,0.0,962597.56,982.0,59.2,40.8,405507.09,478.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723600
EXU,210304.51,506.0,3430.22,4.0,8328.11,13.0,33.6,66.4,2236.0,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723604
FEIRA NOVA,171736.61,352.0,4594.07,2.0,1770.76,1.0,100.0,0.0,1770.76,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723605
FERNANDO DE NORONHA,65222.34,202.0,1526.37,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723607
FERREIROS,74114.36,227.0,1249.66,2.0,1532.92,4.0,62.1,37.9,283.26,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723608
FLORES,115334.63,327.0,1583.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723609
FLORESTA,487194.67,762.0,7269.3,5.0,9355.95,14.0,53.9,46.1,6318.11,10.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723610
FREI MIGUELINHO,77328.33,165.0,10.53,1.0,724.22,2.0,0.0,100.0,724.22,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723611
GAMELEIRA,119193.94,341.0,0.0,0.0,122.37,1.0,0.0,100.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723612
GARANHUNS,4884141.4,6487.0,104126.33,81.0,86519.52,87.0,41.2,58.8,41180.34,43.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723614
GLORIA DO GOITA,171906.57,444.0,1499.75,5.0,12686.57,23.0,74.0,26.0,4536.59,12.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723615
GOIANA,1380218.97,3292.0,6346.73,10.0,10084.01,19.0,39.3,60.7,2359.53,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723619
GRANITO,31205.47,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723620
GRAVATA,1618670.53,2322.0,57445.08,62.0,230699.85,216.0,38.5,61.5,119820.02,121.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723621
IATI,127983.5,235.0,105.98,1.0,2363.03,3.0,100.0,0.0,1134.33,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723622
IBIMIRIM,169189.07,305.0,6106.1,8.0,17265.36,18.0,50.8,49.2,6072.07,4.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723623
IBIRAJUBA,28180.2,82.0,1769.07,4.0,792.97,2.0,25.6,74.4,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723624
IGARASSU,1617888.1,4499.0,11637.68,14.0,35091.72,25.0,100.0,0.0,9339.94,12.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723625
IGUARACI,61755.88,159.0,0.0,0.0,3827.16,3.0,0.0,100.0,3827.16,3.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723630
ILHA DE ITAMARACA,322115.58,633.0,659.86,3.0,17633.91,14.0,100.0,0.0,1134.75,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723631
INAJA,143891.83,192.0,102.78,1.0,8977.13,2.0,100.0,0.0,1100.0,1.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723632
INGAZEIRA,25004.68,94.0,695.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723635
IPOJUCA,1352513.53,2569.0,1450.87,2.0,39522.44,19.0,89.1,10.9,23449.56,14.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723636
IPUBI,145707.77,376.0,2014.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723637
ITACURUBA,24640.02,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723638
ITAIBA,113290.36,259.0,1482.53,3.0,2163.13,3.0,35.1,64.9,1518.28,2.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723639
ITAMBE,205390.02,549.0,5842.56,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26/05/2026,22/05/2026,Receita Federal do Brasil,2026-05-29T11:29:41.723640
